dx_category,n_patients,median_los,mean_los,readmit_rate,readmit_rate_pct
Cardiac,41,1.9993287037037035,3.08984699638663,0.12195121951219512,12.2
Injury/Trauma,19,2.4711689814814815,4.552116837231969,0.21052631578947367,21.1
Infectious,18,4.775231481481482,4.7969669495884775,0.16666666666666666,16.7
GI/Digestive,15,1.7886111111111107,3.261618055555556,0.13333333333333333,13.3
Neoplasm/Cancer,13,1.8715856481481483,3.203225605413105,0.0,0.0
Respiratory,13,3.3498032407407403,4.940962428774928,0.46153846153846156,46.2
Neuro,6,2.0792361111111113,2.8783854166666667,0.3333333333333333,33.3
Endocrine/Metabolic,5,1.1352314814814817,1.475127314814815,0.0,0.0
Mental/Behavioral,3,0.6789699074074073,1.017704475308642,0.3333333333333333,33.3
Symptoms/Ill-defined,3,3.2677199074074075,3.7373109567901235,0.3333333333333333,33.3
Blood,2,9.533362268518518,9.533362268518518,0.0,0.0
Musculoskeletal,1,0.706747685185185,0.706747685185185,0.0,0.0
Other/Supplementary,1,2.110532407407407,2.110532407407407,1.0,100.0
